"id","en","es","zh","ko","ja","de","fr","hmn","it","ru","fil","pt-br","vi","lo","th","km","nl","hi","bn","sw","ha","yo","ig","am","om","zu","so","sn","idn"
"28","3. DID YOU REQUIRE A ""TISSUE"" FOR TEARS?","3. ¿NECESITASTE UN ""PAÑUELO"" PARA LAS LÁGRIMAS?","3. 是否需要纸巾擦泪？","3. 눈물 닦을 ""티슈"" 필요했나요?","3. 涙ふき ""ティッシュ"" 必要だった?","3. BRAUCHTEST DU EIN ""TEMPO"" FÜR TRÄNEN?","3. BESOIN D'UN ""MOUCHOIR"" POUR LES LARMES ?","3. PUAS TAU SIV NTAUB SO QUA MUAG?","3. TI SERVIVA UN ""FAZZO"" PER LE LACRIME?","3. НУЖЕН БЫЛ ""ПЛАТОК"" ДЛЯ СЛЕЗ?","3. KAILANGAN MO ""TISSUE"" PARA SA LUHA?","3. PRECISOU DE ""LENCINHO""?","3. CẦN ""KHĂN"" LAU NƯỚC MẮT?","ຂໍ້ ໓ ຕ້ອງການ ກະດາດ ເຊັດນ້ໍາຕາບໍ","ข้อ ๓ ต้องมี ทิชชู่ ซับน้ำตาไหม","ត្រូវការ ""កន្សែង"" សម្រាប់ទឹកភ្នែក?","3. WAS ER EEN ""ZAKDOEK"" NODIG VOOR DE TRANEN?","3. क्या आँसुओं के लिए ""रूमाल"" चाहिए था?","৩. চোখের জলের জন্য কি ""রুমাল"" দরকার ছিল?","3. Ulahitaji ""leso"" ya machozi?","3. Kana bukatar ""tissue"" don hawaye?","3. Ṣé o nílò ""asọ ìmú"" fún òrùn ọ̀wọ̀n?","3. Ị chọrọ ""tissue"" maka anya ụfụfụ?","፫። ለእንባ ሶፍት ያስፈለገ፧","3. Fayyaa ""tissue"" imimmaan barbaadde?","3. Ubedinga ""ithishu"" yokusula izinyembezi?","3. Maad u baahnayn ""tishu"" ilmada?","3. Wakada ""tissue"" yemisodzi here?","3. Butuh ""tisu"" buat air mata?"
"29","MULTIPLE","MÚLTIPLES","好多张","여러 장","大量","STAPELWEISE","PAR PAQUETS","NTAU HEEV","PACCO","КУЧА","MARAMI","MUITOS","NHIỀU","ຫຼາຍແຜ່ນ","หลายผืน","ច្រើន","MEERDERE","कई","অনেক","Nyingi","Da yawa","Ọ̀pọ̀","Ọtụtụ","ብዙ","Baay'ee","Eziningi","Tiro badan","Yakawanda","Banyak"
"30","4. HAS THIS RESULTED IN A TRAUMATIC BRAIN INJURY?","4. ¿ESTO RESULTÓ EN UNA LESIÓN CEREBRAL TRAUMÁTICA?","4. 是否导致脑袋遭受戏剧性创伤？","4. 이 일로 멘붕 뇌손상 왔나요?","4. その結果 脳みそトラウマ?","4. GAB ES EIN DRAMA-HIRNTRAUMA?","4. CERVEAU TRAUMATODRAME À LA CLÉ ?","4. PUAS UA KOJ PAJ HLWB TAWG?","4. QUESTA FARSA TI HA ROTTO IL CERVELLO?","4. ЭТА ДРАМА БОЛЬНО УДАРИЛА ПО МОЗГУ?","4. DAHIL BA DITO NABUGBOG UTAK MO?","4. ISSO AMASSOU SEU CÉREBRO?","4. DRAMA NÀY ĐẬP NÃO KHÔNG?","ຂໍ້ ໔ ເຫດນີ້ຕີສະຫມອງບໍ","ข้อ ๔ ดราม่านี้กระแทกสมองไหม","ករណីនេះដាក់សរសៃប្រសាទទេ?","4. LEIDDE DIT TOT TRAUMATISCH HERSENLETSEL?","4. क्या इससे दिमाग पर सदमा पड़ा?","৪. এতে কি কোনো নাটকীয় মস্তিষ্ক আঘাত হয়েছে?","4. Je, hili limesababisha mshtuko wa ubongo wa drama?","4. Shin ya haifar da bugun kwakwalwa na drama?","4. Ṣé ó yọrí sí ìfarapa ọpọlọ oníkálukú?","4. Ọ mere ka ụબụrụ kpasuo iwe?","፬። ይህ የድራማ አእምሮ ድንጋጤ አመጣ፧","4. Kun miidhaa sammuu dramaa uume?","4. Lokhu kuholele ekulimazekeni kobuchopho bedrama?","4. Miyaad la kulantay dhaawac maskaxeed oo drama ah?","4. Izvi zvakakonzera kukuvara kwehuropi here?","4. Sampai bikin otak trauma?"
"31","PART IV - REASON FOR FILING THIS REPORT (Mark all that apply)","PARTE IV - MOTIVO PARA PRESENTAR ESTE INFORME (Marque todo lo que corresponda)","第四部分 - 报告原因（可多选）","4부 - 신고 이유 (해당 전부 체크)","第4部 - 申告理由（当てはまる物に全部チェック）","TEIL IV - DRAMAGRÜNDE (alles Zutreffende ankreuzen)","PARTIE IV - RAISONS DU DOSSIER (coche tout).","NTU IV - VIM LI CAS SAU (khij txhua yam).","PARTE IV - MOTIVO (segna tutto)","ЧАСТЬ IV - ПОВОД (отметь все)","BAHAGI IV - RASON NG ULAT (lahat markahan)","PARTE IV - MOTIVO (marque tudo)","PHẦN IV - LÝ DO GỬI ĐƠN (tick hết)","ພາກທີ ໔ ເຫດຜົນ ກະຕຸກໃຫ້ໝົດ","ภาคที่ ๔ เหตุผล ติ๊กให้หมด","ផ្នែកទី ៤ - មូលហេតុ (ធីកទាំងអស់)","DEEL IV - REDEN VOOR DIT RAPPORT (Kruis aan wat van toepassing is)","भाग ४ - रिपोर्ट दर्ज करने का कारण (जो भी लागू हो, टिक करें)","অংশ ৪ - এই রিপোর্ট দাখিলের কারণ (যা যা প্রযোজ্য সব নির্বাচন করুন)","Sehemu ya 4 - Sababu za kuwasilisha ripoti hii (chagua yote yanayokubaliana)","Sashe na 4 - Dalilin rahoton (zaɓi duk abin da ya dace)","Apá 4 - Ìdí tí o fi kó ìròyìn yìí wá (yàn gbogbo tó bá yẹ)","Akụkụ 4 - Ihe kpatara ị kọrọ (họrọ ihe niile ziri ezi)","ክፍል ፬ ፡ ይህን ሪፖርት ለማቅረብ ሲነሳ ምክንያት ፡የሚመሩትን ሁሉ ይምረጡ","Kutaa 4 - Sababa gabaasa kanaa (filadhaa hundaa kan sirrii ta'an)","Ingxenye 4 - Izizathu zokuletha umbiko (khetha konke okuhambisana)","Qaybta 4 - Sababta warbixintan (doorso dhammaan ku habboon)","Chikamu 4 - Chikonzero chekuendesa mushumo (sarudza zvese zvinobatika)","Bagian 4 - Alasan lapor (pilih semua yang cocok)"
"32","I am thin skinned","Soy de piel delgada","我是薄皮玻璃心","저는 껍질 얇아요","わたしガラス肌","Ich bin dünnhäutig.","J'ai la peau en papier.","Kuv daim tawv nqaij nyias nyias.","Pelle di cipolla","Кожа тонкая","Nipis balat ko","Sou pele fina","Da tôi siêu mỏng","ຜິວບາງຫນັກ","ผิวบางขั้น","ខ្ញុំស្បែកស្តើង","Ik ben dunhuidig","मेरी चमड़ी पतली है","আমি খুব নরম","Ngozi yangu ni nyembamba","Jini siriri ne","Ara mi rọrùn gan","Ahụ́rụ m adịghị ike","ቆዳዬ ቀጭን ነው","Foon koo salphaa dha","Isikhumba sami sincane","Maqaarkaygu wuu jilicsan yahay","Ndine ganda rakatetepa","Kulitku tipis"
"33","Someone needs to fix my problems","Alguien necesita arreglar mis problemas","我要别人修好我的问题","누가 제 문제 좀 해결해줘요","誰か私の問題直して","Jemand soll meinen Kram richten.","Quelqu'un doit réparer mon bazar.","Lwm tus yauv tsum pab.","Qualcuno sistemi i miei guai","Кто-то пусть чинит мои беды","Iba na lang ayos ng issue ko","Alguém arrume meus pepinos","Ai đó sửa hộ rắc rối tôi","ໃຫ້ຄົນອື່ນແກ້ບັນຫາຂ້ອຍ","ให้คนอื่นแก้เรื่องฉัน","សូមអ្នកដទៃជួសជុលបញ្ហាខ្ញុំ","Iemand moet mijn problemen oplossen","कोई मेरी समस्याएँ सुलझाए","কেউ আমার সমস্যা ঠিক করুক","Mtu anisaidie matatizo yangu","Ina so wani ya gyara matsalata","Ẹnikan gbọ́dọ̀ yanju ìṣòro mi","Ka mmadụ dozie nsogbu m","ሰው እንዲፈታልኝ እፈልጋለሁ","Namni tokko rakkoo koo haa furu","Kumele othile axazulule izinkinga zami","Qof ha iga qabto dhibaatooyinkayga","Munhu ngaandibatsire kugadzirisa nyaya dzangu","Tolong ada yang bereskan masalahku"
"34","Two beers is not enough","Dos cervezas no son suficientes","两杯啤酒根本不够","맥주 두 잔으론 택도 없어요","ビール二杯じゃ足りん","Zwei Bier reichen nie.","Deux bières, c'est pas assez.","Ob khob cawv yeej tsis txaus li.","Due birre non bastano","Двух пива мало","Dalawang beer kulang","2 cervejas não bastam","Hai bia chẳng đủ","ເບຍສອງແກ້ວບໍ່ພໍ","เบียร์สองแก้วไม่พอ","ស្រាបៀរពីរមិនពេញ","Twee biertjes zijn niet genoeg","दो बीयर काफ़ी नहीं","দুই গ্লাস বিয়ার যথেষ্ট নয়","Bia mbili hazitoshi","Giwayen biyu ba su isa ba","Ìgànmí méjì kò tó","Bia abụọ ezughị","አምስት ብሪ አይበቃም","Bira lama gahaa mitti","Ibhodlela ezimbili zotshwala azanele","Laba dhalo biir ah ma filna","Mabhodhoro maviri edoro haana kukwana","Dua gelas bir tidak cukup"
"35","I am a wimp","Soy un debilucho","我是个软脚虾","저는 쫄보죠","ぼくヘタレです","Ich bin ein Weichei.","Je suis une chiffe.","Kuv yog tus tais caus.","Sono un fifone","Я тряпка","Duwag ako","Sou frouxo","Tôi đồ nhát","ຂ້ອຍອ່ອນ","ฉันอ่อนแอ","ខ្ញុំទន់","Ik ben een watje","मैं बिलकुल नरमदिल हूँ","আমি ভীরু","Mimi ni mwoga","Ina da rauni","Mo jẹ́ aláìlera","Abụghị m dike","ደካማ ነኝ","Dadhabaa dha","Ngiyisigwala","Waxaan ahay jilicsan","Ndiri nyoro","Aku penakut"
"36","My feelings are easily hurt","Mis sentimientos se hieren fácilmente","我的感受超容易受伤","제 감정은 순두부","心が豆腐です","Meine Gefühle zerbröseln sofort.","Mes feelings fondent direct.","Kuv lub siab yooj yim mob.","Mi ferisco subito","Меня легко ранить","Daling masaktan feels ko","Me magoam num tapa","Tim tôi dễ dập","ໃຈຂ້ອຍເຈັບງ່າຍ","ใจฉันช้ำง่าย","អារម្មណ៍ខ្ញុំឈឺងាយ","Mijn gevoelens zijn snel gekwetst","मेरा दिल तुरंत आहत हो जाता है","আমার অনুভূতি খুব সহজে আঘাত পায়","Hisia zangu huumia haraka","Zuciyata na karyewa da sauri","Ọkàn mi máa bàjẹ́ láìpẹ́","Obi na-ada ngwa ngwa","ስሜትዬ በፍጥነት ይጎዳል","Hafuurri koo salphaatti miidhamti","Imizwa yami ilimala masinyane","Dareenkaygu si fudud ayuu u dhaawacmaa","Manzwiro angu anokuvadza nekukurumidza","Perasaanku gampang hancur"
"37","My hands should be in pockets","Mis manos deberían estar en los bolsillos","我的手该老老实实插兜","손은 주머니에나 있어야죠","手はポケット待機","Hände gehören brav in Taschen.","Mes mains devraient hiberner en poche.","Kuv tes taw tuag zawv.","Le mani vanno in tasca","Руки должны в карман","Kamay ko dapat bulsa lang","Mãos deviam ficar no bolso","Tay tôi nên trú túi","ມືຄວນຢູ່ໃນກະເປົາ","ควรซุกมือในกระเป๋า","ដៃគួរទៅដាក់កាបូប","Mijn handen horen in mijn zakken","मेरे हाथ जेब में रहने चाहिए","আমার হাত পকেটে থাকা উচিত","Mikono yangu inapaswa kuwa mfukoni","Hannuwana su kasance a aljihu","Ọwọ́ mi gbọ́dọ̀ wà nínú àpò","Aka m kwesịrị ịnọ n’akpa","እጆቼ በኩል መኖር አለባቸው","Harka koo aljiba keessa haa tursu","Izandla zami kufanele zihlale ephaketheni","Gacmahaygu waa inay jeebka ku jiraan","Maoko angu anofanira kugara muhomwe","Tanganku harus di kantong"
"38","I have crazy hormones","Tengo hormonas descontroladas","我的激素在开狂欢","호르몬이 난리났어요","ホルモン暴走中","Meine Hormone machen Polonaise.","Mes hormones font la chenille.","Kuv lub cev vwm vwm.","Ormoni fuori pista","Гормоны бушуют","Luko-loko hormones ko","Hormônios doidos","Hormone tôi loạn","ຮໍໂມນຄຸ້ມຄັ່ງ","ฮอร์โมนเพี้ยน","ហ័រមូនខ្ញុំឆ្កួត","Mijn hormonen slaan op hol","मेरे हार्मोन उधम मचा रहे हैं","আমার হরমোন পাগল","Homoni zangu zimevurugika","Hormona na sun rikice","Hormonu mi ti dárú","Hormone m na-agba ọsọ","ሆርሞኑ እየተወዛወዘ ነው","Hormoononni koo saxaxan jiru","Ama-hormone ami ayahlanya","Hormoonadaydu way wareerayaan","Mahomoni angu ari kupenga","Hormonku lagi kacau"
"39","I didn't sign up for this","No me apunté para esto","我没报名干这个","이거 신청한 적 없어요","こんなの契約外です","Dafür hab ich nie unterschrieben.","J'ai pas coché cette case.","Kuv twb tsis yeem ua tej no.","Non volevo tutto cio","Я на это не подписан","Di ako pumirma dito","Não assinei pra isso","Tôi đâu ký vụ này","ຂ້ອຍບໍ່ເຄີຍເຊັນສິ່ງນີ້","ไม่เคยเซ็นงานนี้","ខ្ញុំមិនចុះនេះ","Hiervoor heb ik niet getekend","मैंने इसके लिए साइन नहीं किया","এটার জন্য আমি সাইন করিনি","Sikusaini hili","Ban sa hannu ba","Mi ò fọwọ́sowọ́ sí èyí","M anaghị abanye n’akwụkwọ a","ይህን አልፈረምሁበትም","Kana mallatteessuu hin barbaadne","Angizange ngisayine kulokhu","Tani kamaan saxiixin","Handina kusaina izvi","Aku tidak daftar buat ini"
"40","I was not offered a post brief","No me ofrecieron un informe posterior","没人给我事后简报","사후 브리핑도 없었어요","事後ブリーフ無かった","Keiner bot mir die Nachbesprechung an.","On m'a zappé le débrief.","Tsis muaj leej twg qhia kuv.","Briefing dopo? Nessuno.","Мне не дали постбриф","Walang nagbigay ng post-brief","Ninguém deu pós-brief","Chẳng ai brief sau","ບໍ່ມີໃຜໃຫ້ບຣີຟທ໌ຫຼັງ","ไม่มีใครสรุปหลังงาน","គេមិនផ្តល់សេចក្តីសង្ខេបក្រោយ","Ik kreeg geen nabespreking","मुझे किसी ने डिब्रीफ़ नहीं दिया","আমাকে ব্রিফ করা হয়নি","Sikupewa taarifa baada ya tukio","Ba a ba ni bayanin bayan taro ba","Wọ́n kò ṣe ìtànlẹ́yìn fún mi","E nyere m ozi emechaa? mba","የኋለኛ ትርጓሜ አልተሰጠኝም","Himannaa boodaa hin arganne","Angitholanga i-briefing yangemva kwesigameko","Man helin warbixin dambe","Handina kuudzwa mushure mezviitiko","Tidak ada briefing setelah kejadian"
"41","I am a crybaby","Soy un llorón","我是爱哭包","저는 울보","私は泣き虫","Ich bin eine Heulboje.","Je suis un pleurni-bébé.","Kuv yog neeg quaj taug.","Sono piagnone","Я плакс","Iyakin ako","Sou chorão","Tôi mít ướt","ຂ້ອຍຮ້ອງໄຫ້","ฉันเด็กขี้แย","ខ្ញុំជាក្មេងយំ","Ik ben een huilbaby","मैं रोता हुआ बच्चा हूँ","আমি কান্নুকলা শিশু","Mimi ni mtoto mlilia","Ni jaririn kuka ne","Mo jẹ́ ọmọ tí ń sunkún","Abụ m nwa na-ebe akwa","ሕፃን እየታገስኩ ነኝ","Anatu daa'ima kuka","Ngiyingane ekhalayo","Waxaan ahay ilmo ooya","Ndiri mwana anochema","Aku bayi cengeng"
"42","I was told that I am not a hero","Me dijeron que no soy un héroe","有人说我不是英雄","제가 영웅 아니라네요","ヒーローじゃないと言われた","Man sagte mir, kein Held hier.","On m'a dit héros zéro.","Lawv liam tias kuv tsis yog phaj ej.","Mi hanno detto: niente eroe","Сказали, что я не герой","Sinabihan akong di hero","Disseram que não sou herói","Họ bảo tôi chẳng anh hùng","ມີຄົນວ່າຂ້ອຍບໍ່ແມ່ນຮີໂຣ","มีคนบอกฉันไม่ใช่ฮีโร่","គេថាខ្ញុំមិនមែនវីរៈបុរស","Ze zeiden dat ik geen held ben","किसी ने कहा मैं हीरो नहीं","বলেছে আমি হিরো নই","Walisema mimi si shujaa","Suka ce ba ni jarumi ba","Wọ́n ní emi kì í ṣe akíkanjú","Ha sịrị na m bughị dike","እኔ ጀግና አይደለሁም ብለው ተባሉኝ","Namni na akka gootaatti hin tajaajille jedhu","Bathe angisiye iqhawe","Waxay dhaheen geesi ma tihid","Vakanditi handisi gamba","Mereka bilang aku bukan pahlawan"
"43","Someone requested a post brief","Alguien solicitó un informe posterior","有人竟然要求事后简报","누가 사후 브리핑 달래요","誰かが事後ブリーフ要求","Jemand verlangte eine Nachbesprechung.","Quelqu'un a exigé un débrief.","Muaj leej twg kom kuv sab laj tom qab.","Qualcuno pretende un debrief","Кто-то потребовал де-бриф","May humingi ng post-brief","Alguém pediu pós-brief","Có người đòi brief sau","ມີຄົນຂໍບຣີຟທ໌ຫຼັງ","มีคนขอดีบรีฟ","មានអ្នកស្នើសុំសង្ខេបក្រោយ","Iemand vroeg om een nabespreking","किसी ने पोस्ट-डिब्रीफ़ माँग लिया","কেউ একটি ডিব্রিফ চেয়েছে","Mtu aliomba ripoti ya baadaye","Wani ya nemi bayanin baya","Ẹnikan bẹ̀rẹ̀ ìtànlẹ́yìn mìíràn","Onye chọrọ ka e mee briefing ọzọ","አንድ ሰው ዳግም ትርጓሜ ጠየቀ","Namni tokko deebii boodaa gaafate","Othile ucele i-briefing ebuya","Qof ayaa codsaday warbixin kale","Mumwe munhu akakumbira mushumo wechipiri","Ada yang minta laporan ulang"
"44","I want my mommy","Quiero a mi mami","我要找妈妈","엄마 찾습니다","ママ呼んで","Ich will meine Mami.","Je veux ma maman.","Kuv qw kuv niam vim mob mob.","Voglio la mamma","Зову маму","Hanap ko mama","Quero mamãe","Muốn mẹ ơi","ຢາກໄດ້ແມ່","อยากได้แม่","ខ្ញុំចង់ចៅម៉ែ","Ik wil mijn mama","मुझे अपनी माँ चाहिए","আমার মা-কে চাই","Nataka mama","Ina son uwa ta","Mo fẹ́ rí ìyá mi","Achọrọ m nne m","እናቴን እፈልጋለሁ","Haadha koo barbaada","Ngifuna umama","Waan rabaa hooyaday","Ndoda amai vangu","Aku mau ibu"
"45","The weather is too cold/hot","El clima está demasiado frío/caliente","天气太冷或太热","날씨가 너무 춥거나 덥거나","天気が寒すぎ暑すぎ","Wetter viel zu kalt/heiß.","Météo trop froide/chaude.","Huab cua tsis zoo.","Il meteo e' troppo estremo","Погода то лед то пламя","Sobra lamig/inet ng klima","Tempo frio/quente demais","Thời tiết quá lạnh/nóng","ອາກາດໜາວ/ຮ້ອນເກີນ","อากาศหนาว/ร้อนเกิน","អាកាសធាតុក្តៅ/ត្រជាក់ពេក","Het weer is te koud/warm","मौसम बहुत ठंडा/गरम है","আবহাওয়া খুব ঠান্ডা/গরম","Hali ya hewa ni baridi/joto kupita kiasi","Yanayi yayi sanyi/zafi sosai","Òjòjò gbígbóná/tútù ju","Ihu igwe oyi/ọkụ karịrị","አየር በጣም ትኩስ ወይም ብርድ ነው","Qilleensi baay'ee qabbanaa'aa/yookaan hoo'aa","Isimo sezulu sibanda/sishisa kakhulu","Cimiladu aad bay u qabow/qaaran tahay","Mamiro ekunze anotonhora/kupisa zvakanyanya","Cuaca terlalu dingin/panas"
"46","All of the above and more","Todo lo anterior y más","以上全部还嫌不够","위 전부에 덤까지요","上記全部プラスα","Alles davon und noch Bonus.","Tout ça et du rab.","Tag nrho saum toj thiab ntxiv me ntsis.","Tutto sopra e pure altro","Все выше плюс добавка","Lahat nasa taas plus pa","Tudo isso e mais um pouco","Tất cả trên kèm bonus","ທຸກຂໍ້ຂ້າງເທິງແຖມອີກ","ทั้งหมดข้างบนแถมอีก","អស់ទាំងនេះបូកបន្ថែម","Alles hierboven en nog meer","उपर्युक्त सब और भी","উপরের সব এবং আরও","Yote hapo juu na zaidi","Duka abubuwan da ke sama da ƙari","Gbogbo ohun tí ó wà lókè àti síi","Ihe niile n’elu na karịa","ሁሉም ከላይ እና ተጨማሪ","Hundumtuu armaan olitti fi dabalataan","Konke okungenhla kanye nokwengeziwe","Dhammaan kor ku xusan iyo ka badan","Zvese zviri pamusoro uye zvakawanda","Semua di atas dan lebih"
"47","PART V - NARRATIVE (Tell us in your own sissy words how your feelings were hurt.)","PARTE V - NARRATIVA (Cuéntanos con tus propias palabras delicadas cómo se hirieron tus sentimientos.)","第五部分 - 小剧场（请细说玻璃心怎么碎的）","5부 - 사연 (네 마음 여리 버전으로 설명해봐요.)","第5部 - 泣き語り（繊細ボイスでどう傷ついたか書いてね。）","TEIL V - ERZÄHLUNG (Schildern Sie im Mimimi-Stil den Schmerz.)","PARTIE V - RÉCIT (Raconte-le en mode chouinette.)","NTU V - NEEJ NEEG (siv koj cov lus me nyuam yaus qhia).","PARTE V - RACCONTO (spiega in parole delicate il danno)","ЧАСТЬ V - РАССКАЗ (опиши нежными словами обиду)","BAHAGI V - KWENTO (sabihin sa sariling lambot kung paano ka nasaktan.)","PARTE V - NARRA (conte fofinho como doeu.)","PHẦN V - KỂ LỄ (viết giọng bánh bèo sao đau.)","ພາກທີ ໕ ເລົ່າດຣາມ່າ ຂຽນໃນສຽງອ່ອນນ້ອຍ","ภาคที่ ๕ เล่าน้ำตา บรรยายเสียงติ๋มว่าพังยังไง","ផ្នែកទី ៥ - ដំណើរការ (ប្រាប់បែបផ្អែមថាឈឺប៉ុណ្ណា.)","DEEL V - VERHAAL (Vertel in je eigen tere woorden hoe je gevoelens zijn gekrenkt.)","भाग ५ - कथा (अपनी नाज़ुक भाषा में बताइए दिल कैसे टूटा.)","অংশ ৫ - বিবরণ (নিজের কোমল ভাষায় বলুন কিভাবে আঘাত পেয়েছেন)","Sehemu ya 5 - Hadithi (eleza kwa maneno yako laini ulivyojeruhiwa)","Sashe na 5 - Labari (faɗi da lafuzanka masu taushi yadda aka ji maka ciwo)","Apá 5 - Ìtàn (sọ ní ọ̀rọ̀ rirọ bí o ṣe bàjẹ́)","Akụkụ 5 - Akụkọ (kọwaa n’okwu gị ọma otú obi si merụọ gị)","ክፍል ፭ ፡ ታሪክ ፡በለስላሳ ቃላትህ እንዴት እንደተጎዳህ ንገር","Kutaa 5 - Odeeffannoo (jechoota mi'aawoo kee keessatti akkamitti miidhamee himi)","Ingxenye 5 - Indaba (chaza ngezinhlamvu ezithambile ukuthi walimala kanjani)","Qaybta 5 - Sheeko (ku sharax erayadaada jilicsan sida lagu dhaawacay)","Chikamu 5 - Nyaya (tsanangura nemashoko ako enyoro wakuvadzwa sei)","Bagian 5 - Cerita (jelaskan dengan kata manja bagaimana hatimu terluka)"
"48","PART VI - AUTHENTICATION","PARTE VI - AUTENTICACIÓN","第六部分 - 认证","6부 - 인증","第6部 - 確認","TEIL VI - BESTÄTIGUNGSGEDÖNS","PARTIE VI - AUTHENTIKIFIE","NTU VI - KEV POV THAWJ","PARTE VI - CONVALIDA","ЧАСТЬ VI - ПРОВЕРКА","BAHAGI VI - BERIPIKASYON","PARTE VI - VALIDAÇÃO","PHẦN VI - XÁC THỰC","ພາກທີ ໖ ການຢືນຢັນ","ภาคที่ ๖ รับรอง","ផ្នែកទី ៦ - បញ្ជាក់","DEEL VI - VERIFICATIE","भाग ६ - प्रमाणन","অংশ ৬ - প্রমাণীকরণ","Sehemu ya 6 - Uthibitisho","Sashe na 6 - Tabbatarwa","Apá 6 - Ìfọwọ́sí","Akụkụ 6 - Nkwenye","ክፍል ፮ ፡ ማረጋገጫ","Kutaa 6 - Mirkaneessa","Ingxenye 6 - Ukuqinisekisa","Qaybta 6 - Xaqiijin","Chikamu 6 - Kusimbisa","Bagian 6 - Pengesahan"
"49","A. PRINTED NAME OF WHINER","A. NOMBRE EN LETRA DE MOLDE DEL QUEJOSO","A. 抱怨者打印姓名","A. 찡찡이 인쇄체 이름","A. 泣き虫のブロック体名前","A. DRUCKNAME DER HEULSUSE","A. NOM EN CAPITAL DU PLEURNI.","A. NPE TUS NEEG QUAJ (sau ntawv).","A. NOME A STAMPA DEL PIAGNONE","A. ИМЯ НОЮНА ПЕЧАТЬЮ","A. PRINT NA NGALAN REKLA","A. NOME IMPRESSO CHORÃO","A. TÊN IN CỦA MÈ NHEO","ຊ່ອງ ກ ຊື່ພິມຂອງຄົນບ່ອນ","ช่อง ก ชื่อพิมพ์ของสายคราง","ក. ឈ្មោះបោះពុម្ពអ្នកផ្អើល","A. NAAM VAN KLAGER IN BLOKLETTERS","क. रोनेवाले का छपा नाम","ক. অভিযোগকারীর মুদ্রিত নাম","a. Jina la mlalamishi","a. Sunan mai korafi da rubutu","a. Orúkọ akọtọ ẹni tí ń kéjo","a. Aha onye na-akọ e dere","አ። የመጥራት ሰው ስም","a. Maqaa maxxanfame nama komachaa","a. Igama lombhali lomkhaleli","a. Magaca daabacan ee cabashada","a. Zita rakadhindwa remunonyunyuta","a. Nama cetak pengeluh"
"50","B. SIGNATURE","B. FIRMA","B. 签名","B. 사인","B. サイン","B. UNTERSCHRIFT","B. SIGNATURE.","B. SAU NPE","B. FIRMA","B. ПОДПИСЬ","B. PIRMA","B. ASSINAT.","B. KÝ TÊN","ຊ່ອງ ຂ ລາຍຊື່","ช่อง ข ลายเซ็น","ខ. ហត្ថលេខា","B. HANDTEKENING","ख. हस्ताक्षर","খ. স্বাক্ষর","b. Sahihi","b. Sa hannu","b. Ìmúra ọwọ́","b. Ndebanye aka","ቢ። ፊርማ","b. Mallattoo","b. Isiginesha","b. Saxiix","b. Siginecha","b. Tanda tangan"
